file,class,method,variable,usage
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_set_spsr_el1/1[long],log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"mem_unmap/2[long,long]",nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"mem_unmap/2[long,long]",log,3
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,close/0,nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,close/0,singleInstance,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,emu_start/1[long],nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,disable_watchpoint/1[int],nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,disable_watchpoint/1[int],log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_read_pc64/0,nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_read_pc64/0,log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_set_tpidr_el0/1[long],nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_set_tpidr_el0/1[long],log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_read64/1[int],nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_read64/1[int],log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"mem_write/2[long,byte[]]",nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"mem_write/2[long,byte[]]",log,3
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_read_sp64/0,nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_read_sp64/0,log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"mem_read/2[long,int]",nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"mem_read/2[long,int]",log,3
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"install_watchpoint/3[int,long,long]",nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"install_watchpoint/3[int,long,long]",log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_set_elr_el1/1[long],nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_set_elr_el1/1[long],log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,getWRPs/0,nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,setHypervisorCallback/1[com.github.unidbg.arm.backend.hypervisor.HypervisorCallback],nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,setHypervisorCallback/1[com.github.unidbg.arm.backend.hypervisor.HypervisorCallback],log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,Hypervisor/1[boolean],nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,Hypervisor/1[boolean],singleInstance,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_set_nzcv/1[long],nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_set_nzcv/1[long],log,2
C:\unidbg-master\unidbg-ios\src\main\java\com\github\unidbg\ios\ipa\BundleResolver.java,com.github.unidbg.ios.ipa.BundleResolver,"BundleResolver/2[java.lang.String,java.lang.String]",executableBundleDir,3
C:\unidbg-master\unidbg-ios\src\main\java\com\github\unidbg\ios\ipa\BundleResolver.java,com.github.unidbg.ios.ipa.BundleResolver,"BundleResolver/2[java.lang.String,java.lang.String]",bundleIdentifier,3
C:\unidbg-master\unidbg-ios\src\main\java\com\github\unidbg\ios\ipa\BundleResolver.java,com.github.unidbg.ios.ipa.BundleResolver,"resolve/3[com.github.unidbg.ios.ipa.Emulator<com.github.unidbg.file.ios.DarwinFileIO>,java.lang.String,int]",executableBundleDir,2
C:\unidbg-master\unidbg-ios\src\main\java\com\github\unidbg\ios\ipa\BundleResolver.java,com.github.unidbg.ios.ipa.BundleResolver,"resolve/3[com.github.unidbg.ios.ipa.Emulator<com.github.unidbg.file.ios.DarwinFileIO>,java.lang.String,int]",bundleIdentifier,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,"instrument/2[long,com.github.unidbg.hook.hookzz.InstrumentCallback<T>]",RS_SUCCESS,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,"instrument/2[long,com.github.unidbg.hook.hookzz.InstrumentCallback<T>]",zzDynamicBinaryInstrumentation,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,"replace/3[long,com.github.unidbg.hook.ReplaceCallback,boolean]",RS_SUCCESS,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,"replace/3[long,com.github.unidbg.hook.ReplaceCallback,boolean]",zzReplace,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,HookZz/1[com.github.unidbg.Emulator<?>],zz_disable_arm_arm64_b_branch,2
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,HookZz/1[com.github.unidbg.Emulator<?>],zz_enable_arm_arm64_b_branch,2
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,HookZz/1[com.github.unidbg.Emulator<?>],zzReplace,3
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,HookZz/1[com.github.unidbg.Emulator<?>],zzWrap,3
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,HookZz/1[com.github.unidbg.Emulator<?>],log,2
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,HookZz/1[com.github.unidbg.Emulator<?>],zzDynamicBinaryInstrumentation,2
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,enable_arm_arm64_b_branch/0,RS_SUCCESS,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,enable_arm_arm64_b_branch/0,zz_enable_arm_arm64_b_branch,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,"wrap/2[long,com.github.unidbg.hook.hookzz.WrapCallback<T>]",RS_SUCCESS,1
C:\unidbg-master\unidbg-api\src\main\java\com\github\unidbg\hook\hookzz\HookZz.java,com.github.unidbg.hook.hookzz.HookZz,"wrap/2[long,com.github.unidbg.hook.hookzz.WrapCallback<T>]",zzWrap,1
