file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\DataSphereStudio-master\dss-apps\dss-data-api\dss-api-sql-template\src\main\java\com\webank\wedatasphere\dss\orange\context\Context.java,com.webank.wedatasphere.dss.orange.context.Context,class,1,10,9,1,11,1,0,6,25,0.74999994,0.22222222,0.22222222,10,0,10,0,0,0,10,0,0,0,4,0,0,0,0,4,0,0,2,36,5,0,1,0,0,0,0,5,0,4,1,0,0,0,26,1,0
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-linkis-node-execution\src\main\java\com\webank\wedatasphere\dss\linkis\node\execution\utils\LinkisUjesClientUtils.java,com.webank.wedatasphere.dss.linkis.node.execution.utils.LinkisUjesClientUtils,class,11,14,3,11,5,1,0,20,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,25,4,0,0,0,2,0,2,2,0,2,1,0,0,0,32,1,0
C:\DataSphereStudio-master\dss-apps\dss-data-governance\dss-data-asset-server\src\main\java\com\webank\wedatasphere\dss\data\asset\entity\HiveTblDetailInfo.java,com.webank.wedatasphere.dss.data.asset.entity.HiveTblDetailInfo$HiveClassificationInfo,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,9,0
C:\DataSphereStudio-master\dss-apps\dss-data-api\dss-data-api-server\src\main\java\com\webank\wedatasphere\dss\data\api\server\entity\VariableString.java,com.webank.wedatasphere.dss.data.api.server.entity.VariableString,class,0,1,1,0,3,1,0,0,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,1,0,0,0,0,7,1,0
C:\DataSphereStudio-master\dss-commons\dss-sender-service\src\main\java\com\webank\wedatasphere\dss\sender\service\impl\DSSSenderServiceImpl.java,com.webank.wedatasphere.dss.sender.service.impl.DSSSenderServiceImpl,class,3,4,1,3,7,1,0,2,9,0.6666667,0.2857143,0.2857143,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,3,0,0,26,7,0,0,0,0,0,0,3,0,3,0,0,0,0,17,1,0
C:\DataSphereStudio-master\dss-orchestrator\dss-orchestrator-core\src\main\java\com\webank\wedatasphere\dss\orchestrator\core\DSSOrchestrator.java,com.webank.wedatasphere.dss.orchestrator.core.DSSOrchestrator,interface,3,13,10,3,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\DataSphereStudio-master\dss-apps\dss-user-guide\dss-user-guide-server\src\main\java\com\webank\wedatasphere\dss\guide\server\restful\KnowledgeGuideAdminRestful.java,com.webank.wedatasphere.dss.guide.server.restful.KnowledgeGuideAdminRestful,class,20,21,1,20,32,1,0,39,19,0.8142857,0.2888889,0.2888889,10,0,10,0,0,0,10,0,0,0,7,4,0,7,0,0,4,0,8,157,16,1,5,1,0,55,9,34,10,31,5,0,0,1,88,1,3
C:\DataSphereStudio-master\dss-apps\dss-data-api\dss-api-sql-template\src\main\java\com\webank\wedatasphere\dss\orange\tag\XmlParser.java,com.webank.wedatasphere.dss.orange.tag.XmlParser,class,8,15,7,8,8,1,0,12,3,0.6666667,0.0,0.0,3,3,3,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,2,47,2,1,1,1,2,2,0,11,0,10,3,1,0,0,40,1,0
C:\DataSphereStudio-master\dss-commons\dss-common\src\main\java\com\webank\wedatasphere\dss\common\utils\ClassUtils.java,com.webank.wedatasphere.dss.common.utils.ClassUtils$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\DataSphereStudio-master\dss-framework\dss-framework-admin-service\src\main\java\com\webank\wedatasphere\dss\framework\admin\common\utils\PasswordUtils.java,com.webank.wedatasphere.dss.framework.admin.common.utils.PasswordUtils,class,7,9,2,7,30,1,0,13,6,0.78571427,NaN,NaN,4,3,1,3,0,0,1,0,0,0,7,7,0,7,0,0,7,0,5,66,12,4,15,0,1,2,19,17,11,16,3,0,0,0,59,1,0
