file,class,method,variable,usage
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,data/1[T],data,1
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-workflow-server\src\main\java\com\webank\wedatasphere\dss\workflow\entity\DSSFlowImportParam.java,com.webank.wedatasphere.dss.workflow.entity.DSSFlowImportParam,setWorkspace/1[com.webank.wedatasphere.dss.standard.app.sso.Workspace],workspace,2
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-workflow-server\src\main\java\com\webank\wedatasphere\dss\workflow\entity\DSSFlowImportParam.java,com.webank.wedatasphere.dss.workflow.entity.DSSFlowImportParam,setOrcVersion/1[java.lang.String],orcVersion,2
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-workflow-server\src\main\java\com\webank\wedatasphere\dss\workflow\entity\DSSFlowImportParam.java,com.webank.wedatasphere.dss.workflow.entity.DSSFlowImportParam,setContextId/1[java.lang.String],contextId,2
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-workflow-server\src\main\java\com\webank\wedatasphere\dss\workflow\entity\DSSFlowImportParam.java,com.webank.wedatasphere.dss.workflow.entity.DSSFlowImportParam,setUserName/1[java.lang.String],userName,2
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-workflow-server\src\main\java\com\webank\wedatasphere\dss\workflow\entity\DSSFlowImportParam.java,com.webank.wedatasphere.dss.workflow.entity.DSSFlowImportParam,setProjectName/1[java.lang.String],projectName,2
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-workflow-server\src\main\java\com\webank\wedatasphere\dss\workflow\entity\DSSFlowImportParam.java,com.webank.wedatasphere.dss.workflow.entity.DSSFlowImportParam,setProjectID/1[java.lang.Long],projectID,2
C:\DataSphereStudio-master\dss-framework\dss-framework-admin-service\src\main\java\com\webank\wedatasphere\dss\framework\admin\util\OkHttpHelper.java,com.webank.wedatasphere.dss.framework.admin.util.OkHttpHelper,syncGet/1[com.webank.wedatasphere.dss.framework.admin.util.Request],request,3
C:\DataSphereStudio-master\dss-framework\dss-framework-admin-service\src\main\java\com\webank\wedatasphere\dss\framework\admin\util\OkHttpHelper.java,com.webank.wedatasphere.dss.framework.admin.util.OkHttpHelper,syncGet/1[com.webank.wedatasphere.dss.framework.admin.util.Request],response,3
C:\DataSphereStudio-master\dss-framework\dss-framework-admin-service\src\main\java\com\webank\wedatasphere\dss\framework\admin\util\OkHttpHelper.java,com.webank.wedatasphere.dss.framework.admin.util.OkHttpHelper,syncGet/1[com.webank.wedatasphere.dss.framework.admin.util.Request],okHttpClient,1
C:\DataSphereStudio-master\dss-commons\dss-common\src\main\java\com\webank\wedatasphere\dss\common\protocol\project\ProjectRelationResponse.java,com.webank.wedatasphere.dss.common.protocol.project.ProjectRelationResponse,setAppConnName/1[java.lang.String],appConnName,2
C:\DataSphereStudio-master\dss-commons\dss-common\src\main\java\com\webank\wedatasphere\dss\common\protocol\project\ProjectRelationResponse.java,com.webank.wedatasphere.dss.common.protocol.project.ProjectRelationResponse,setDssProjectId/1[java.lang.Long],dssProjectId,2
C:\DataSphereStudio-master\dss-commons\dss-common\src\main\java\com\webank\wedatasphere\dss\common\protocol\project\ProjectRelationResponse.java,com.webank.wedatasphere.dss.common.protocol.project.ProjectRelationResponse,"ProjectRelationResponse/4[java.lang.Long,java.lang.String,java.util.List<com.webank.wedatasphere.dss.common.label.DSSLabel>,java.lang.Long]",appInstanceProjectId,2
C:\DataSphereStudio-master\dss-commons\dss-common\src\main\java\com\webank\wedatasphere\dss\common\protocol\project\ProjectRelationResponse.java,com.webank.wedatasphere.dss.common.protocol.project.ProjectRelationResponse,"ProjectRelationResponse/4[java.lang.Long,java.lang.String,java.util.List<com.webank.wedatasphere.dss.common.label.DSSLabel>,java.lang.Long]",dssLabels,2
C:\DataSphereStudio-master\dss-commons\dss-common\src\main\java\com\webank\wedatasphere\dss\common\protocol\project\ProjectRelationResponse.java,com.webank.wedatasphere.dss.common.protocol.project.ProjectRelationResponse,"ProjectRelationResponse/4[java.lang.Long,java.lang.String,java.util.List<com.webank.wedatasphere.dss.common.label.DSSLabel>,java.lang.Long]",dssProjectId,2
C:\DataSphereStudio-master\dss-commons\dss-common\src\main\java\com\webank\wedatasphere\dss\common\protocol\project\ProjectRelationResponse.java,com.webank.wedatasphere.dss.common.protocol.project.ProjectRelationResponse,"ProjectRelationResponse/4[java.lang.Long,java.lang.String,java.util.List<com.webank.wedatasphere.dss.common.label.DSSLabel>,java.lang.Long]",appConnName,2
C:\DataSphereStudio-master\dss-commons\dss-common\src\main\java\com\webank\wedatasphere\dss\common\protocol\project\ProjectRelationResponse.java,com.webank.wedatasphere.dss.common.protocol.project.ProjectRelationResponse,setDssLabels/1[java.util.List<com.webank.wedatasphere.dss.common.label.DSSLabel>],dssLabels,2
C:\DataSphereStudio-master\dss-commons\dss-common\src\main\java\com\webank\wedatasphere\dss\common\protocol\project\ProjectRelationResponse.java,com.webank.wedatasphere.dss.common.protocol.project.ProjectRelationResponse,setAppInstanceProjectId/1[java.lang.Long],appInstanceProjectId,2
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"getVariable/2[com.webank.wedatasphere.dss.apiservice.core.vo.ApiServiceVo,java.lang.Long]",versionId,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"getVariable/2[com.webank.wedatasphere.dss.apiservice.core.vo.ApiServiceVo,java.lang.Long]",e,2
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"getVariable/2[com.webank.wedatasphere.dss.apiservice.core.vo.ApiServiceVo,java.lang.Long]",apiVersionVo,2
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"getVariable/2[com.webank.wedatasphere.dss.apiservice.core.vo.ApiServiceVo,java.lang.Long]",apiServiceVo,3
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"getVariable/2[com.webank.wedatasphere.dss.apiservice.core.vo.ApiServiceVo,java.lang.Long]",variableMap,3
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"getVariable/2[com.webank.wedatasphere.dss.apiservice.core.vo.ApiServiceVo,java.lang.Long]",collect,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,queryApiVersionById/1[java.lang.Long],apiVersionVoList,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,queryApiVersionById/1[java.lang.Long],serviceId,1
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",targetStr,2
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,"query/6[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>,java.lang.String,java.lang.String,com.webank.wedatasphere.dss.apiservice.core.bo.ApiServiceToken,java.lang.String]",reqParams,10
